"ClaimID","ClaimSize"
"CLM51003","200KandAbove"
"CLM51006","200KandAbove"
"CLM51016","200KandAbove"
"CLM51017","lessthan100K"
"CLM51020","lessthan100K"
"CLM51026","200KandAbove"
"CLM51028","lessthan100K"
"CLM51030","lessthan100K"
"CLM51036","200KandAbove"
"CLM51037","lessthan100K"
"CLM51041","lessthan100K"
"CLM51042","lessthan100K"
"CLM51047","100K-lessthan200K"
"CLM51048","lessthan100K"
"CLM51051","lessthan100K"
"CLM51052","200KandAbove"
"CLM51053","lessthan100K"
"CLM51063","lessthan100K"
"CLM51064","lessthan100K"
"CLM51070","100K-lessthan200K"
"CLM51071","100K-lessthan200K"
"CLM51078","100K-lessthan200K"
"CLM51080","lessthan100K"
"CLM51086","200KandAbove"
"CLM51088","lessthan100K"
"CLM51089","lessthan100K"
"CLM51092","100K-lessthan200K"
"CLM51097","lessthan100K"
"CLM51100","100K-lessthan200K"
"CLM51105","lessthan100K"
"CLM51109","lessthan100K"
"CLM51114","lessthan100K"
"CLM51117","lessthan100K"
"CLM51118","200KandAbove"
"CLM51121","lessthan100K"
"CLM51124","100K-lessthan200K"
"CLM51139","200KandAbove"
"CLM51142","100K-lessthan200K"
"CLM51145","200KandAbove"
"CLM51146","lessthan100K"
"CLM51175","lessthan100K"
"CLM51178","lessthan100K"
"CLM51182","lessthan100K"
"CLM51184","lessthan100K"
"CLM51189","lessthan100K"
"CLM51190","100K-lessthan200K"
"CLM51192","lessthan100K"
"CLM51199","lessthan100K"
"CLM51203","lessthan100K"
"CLM51208","lessthan100K"
"CLM51211","lessthan100K"
"CLM51212","lessthan100K"
"CLM51213","lessthan100K"
"CLM51216","lessthan100K"
"CLM51217","100K-lessthan200K"
"CLM51222","200KandAbove"
"CLM51224","lessthan100K"
"CLM51225","lessthan100K"
"CLM51230","lessthan100K"
"CLM51231","lessthan100K"
"CLM51232","lessthan100K"
"CLM51236","200KandAbove"
"CLM51248","lessthan100K"
"CLM51249","lessthan100K"
"CLM51251","lessthan100K"
"CLM51253","lessthan100K"
"CLM51254","100K-lessthan200K"
"CLM51258","200KandAbove"
"CLM51263","lessthan100K"
"CLM51268","lessthan100K"
"CLM51269","lessthan100K"
"CLM51274","lessthan100K"
"CLM51275","200KandAbove"
"CLM51282","100K-lessthan200K"
"CLM51283","lessthan100K"
"CLM51284","lessthan100K"
"CLM51291","lessthan100K"
"CLM51292","100K-lessthan200K"
"CLM51303","200KandAbove"
"CLM51305","lessthan100K"
"CLM51306","lessthan100K"
"CLM51311","lessthan100K"
"CLM51314","200KandAbove"
"CLM51320","100K-lessthan200K"
"CLM51323","200KandAbove"
"CLM51330","200KandAbove"
"CLM51331","lessthan100K"
"CLM51332","lessthan100K"
"CLM51334","lessthan100K"
"CLM51338","lessthan100K"
"CLM51348","100K-lessthan200K"
"CLM51353","lessthan100K"
"CLM51356","lessthan100K"
"CLM51358","200KandAbove"
"CLM51372","lessthan100K"
"CLM51374","lessthan100K"
"CLM51375","lessthan100K"
"CLM51377","lessthan100K"
"CLM51381","100K-lessthan200K"
"CLM51384","lessthan100K"
"CLM51386","lessthan100K"
"CLM51389","200KandAbove"
"CLM51390","lessthan100K"
"CLM51394","lessthan100K"
"CLM51395","100K-lessthan200K"
"CLM51396","lessthan100K"
"CLM51402","200KandAbove"
"CLM51408","lessthan100K"
"CLM51419","100K-lessthan200K"
"CLM51425","lessthan100K"
"CLM51428","200KandAbove"
"CLM51432","200KandAbove"
"CLM51439","lessthan100K"
"CLM51442","200KandAbove"
"CLM51452","100K-lessthan200K"
"CLM51460","lessthan100K"
"CLM51476","lessthan100K"
"CLM51479","lessthan100K"
"CLM51483","200KandAbove"
"CLM51486","lessthan100K"
"CLM51492","lessthan100K"
"CLM51494","lessthan100K"
"CLM51496","lessthan100K"
"CLM51504","100K-lessthan200K"
"CLM51505","lessthan100K"
"CLM51506","lessthan100K"
"CLM51512","100K-lessthan200K"
"CLM51515","100K-lessthan200K"
"CLM51519","lessthan100K"
"CLM51524","lessthan100K"
"CLM51528","lessthan100K"
"CLM51534","lessthan100K"
"CLM51547","100K-lessthan200K"
"CLM51549","100K-lessthan200K"
"CLM51551","lessthan100K"
"CLM51557","100K-lessthan200K"
"CLM51572","lessthan100K"
"CLM51576","lessthan100K"
"CLM51577","lessthan100K"
"CLM51581","lessthan100K"
"CLM51585","200KandAbove"
"CLM51590","lessthan100K"
"CLM51593","lessthan100K"
"CLM51597","lessthan100K"
"CLM51603","lessthan100K"
"CLM51606","lessthan100K"
"CLM51608","100K-lessthan200K"
"CLM51612","lessthan100K"
"CLM51623","lessthan100K"
"CLM51624","lessthan100K"
"CLM51629","100K-lessthan200K"
"CLM51640","lessthan100K"
"CLM51646","100K-lessthan200K"
"CLM51647","lessthan100K"
"CLM51650","200KandAbove"
"CLM51655","200KandAbove"
"CLM51675","lessthan100K"
"CLM51677","lessthan100K"
"CLM51680","lessthan100K"
"CLM51692","lessthan100K"
"CLM51695","lessthan100K"
"CLM51696","lessthan100K"
"CLM51703","100K-lessthan200K"
"CLM51704","lessthan100K"
"CLM51706","lessthan100K"
"CLM51708","100K-lessthan200K"
"CLM51713","200KandAbove"
"CLM51717","100K-lessthan200K"
"CLM51722","200KandAbove"
"CLM51740","lessthan100K"
"CLM51752","lessthan100K"
"CLM51753","lessthan100K"
"CLM51755","200KandAbove"
"CLM51759","lessthan100K"
"CLM51761","200KandAbove"
"CLM51762","lessthan100K"
"CLM51766","lessthan100K"
"CLM51771","lessthan100K"
"CLM51775","200KandAbove"
"CLM51787","lessthan100K"
"CLM51789","lessthan100K"
"CLM51792","lessthan100K"
"CLM51798","100K-lessthan200K"
"CLM51801","lessthan100K"
"CLM51805","lessthan100K"
"CLM51809","lessthan100K"
"CLM51823","lessthan100K"
"CLM51826","100K-lessthan200K"
"CLM51827","100K-lessthan200K"
"CLM51828","lessthan100K"
"CLM51829","lessthan100K"
"CLM51832","lessthan100K"
"CLM51846","lessthan100K"
"CLM51854","lessthan100K"
"CLM51863","100K-lessthan200K"
"CLM51864","lessthan100K"
"CLM51868","100K-lessthan200K"
"CLM51869","lessthan100K"
"CLM51877","100K-lessthan200K"
"CLM51881","200KandAbove"
"CLM51882","lessthan100K"
"CLM51883","100K-lessthan200K"
"CLM51887","100K-lessthan200K"
"CLM51893","lessthan100K"
"CLM51896","lessthan100K"
"CLM51899","100K-lessthan200K"
"CLM51902","100K-lessthan200K"
"CLM51906","lessthan100K"
"CLM51914","100K-lessthan200K"
"CLM51915","lessthan100K"
"CLM51916","lessthan100K"
"CLM51917","lessthan100K"
"CLM51918","lessthan100K"
"CLM51929","lessthan100K"
"CLM51934","100K-lessthan200K"
"CLM51937","lessthan100K"
"CLM51939","lessthan100K"
"CLM51944","lessthan100K"
"CLM51948","200KandAbove"
"CLM51951","100K-lessthan200K"
"CLM51952","lessthan100K"
"CLM51957","lessthan100K"
"CLM51960","lessthan100K"
"CLM51961","lessthan100K"
"CLM51963","lessthan100K"
"CLM51964","lessthan100K"
"CLM51968","lessthan100K"
"CLM51969","lessthan100K"
"CLM51977","200KandAbove"
"CLM51978","lessthan100K"
"CLM51989","lessthan100K"
"CLM51993","100K-lessthan200K"
"CLM52001","lessthan100K"
"CLM52002","lessthan100K"
"CLM52006","100K-lessthan200K"
"CLM52017","lessthan100K"
"CLM52025","lessthan100K"
"CLM52027","lessthan100K"
"CLM52028","lessthan100K"
"CLM52034","200KandAbove"
"CLM52037","100K-lessthan200K"
"CLM52038","lessthan100K"
"CLM52040","lessthan100K"
"CLM52044","lessthan100K"
"CLM52045","lessthan100K"
"CLM52055","100K-lessthan200K"
"CLM52059","lessthan100K"
"CLM52060","lessthan100K"
"CLM52063","lessthan100K"
"CLM52067","lessthan100K"
"CLM52069","100K-lessthan200K"
"CLM52071","lessthan100K"
"CLM52072","lessthan100K"
"CLM52073","lessthan100K"
"CLM52074","100K-lessthan200K"
"CLM52075","100K-lessthan200K"
"CLM52077","lessthan100K"
"CLM52080","lessthan100K"
"CLM52081","lessthan100K"
"CLM52084","200KandAbove"
"CLM52085","200KandAbove"
"CLM52089","200KandAbove"
"CLM52100","lessthan100K"
"CLM52107","lessthan100K"
"CLM52115","lessthan100K"
"CLM52124","lessthan100K"
"CLM52126","lessthan100K"
"CLM52128","lessthan100K"
"CLM52137","lessthan100K"
"CLM52145","lessthan100K"
"CLM52146","lessthan100K"
"CLM52151","lessthan100K"
"CLM52155","100K-lessthan200K"
"CLM52156","lessthan100K"
"CLM52166","lessthan100K"
"CLM52171","100K-lessthan200K"
"CLM52173","100K-lessthan200K"
"CLM52176","lessthan100K"
"CLM52179","lessthan100K"
"CLM52180","lessthan100K"
"CLM52183","lessthan100K"
"CLM52190","200KandAbove"
"CLM52192","100K-lessthan200K"
"CLM52194","lessthan100K"
"CLM52198","lessthan100K"
"CLM52213","lessthan100K"
"CLM52223","200KandAbove"
"CLM52225","100K-lessthan200K"
